id,sales
3000888,2.857142857142857
3000889,0.0
3000890,6.0
3000891,2457.0
3000892,0.33333333333333337
3000893,494.802
3000894,10.1875
3000895,744.0
3000896,936.0
3000897,197.441
3000898,157.0
3000899,125.09266666666667
3000900,4411.0
3000901,34.285714285714285
3000902,3.583333333333333
3000903,24.0
3000904,26.0
3000905,0.125
3000906,222.0
3000907,11.833333333333334
3000908,26.0
3000909,17.0
3000910,122.0
3000911,4.408163265306123
3000912,330.7733928571429
3000913,26.0
3000914,2.5
3000915,8.833333333333334
3000916,280.10337749999997
3000917,92.607
3000918,4314.8857
3000919,2331.77
3000920,35.68900033333333
3000921,3.0
3000922,0.21428571428571427
3000923,3.0
3000924,1413.0
3000925,0.0
3000926,149.0
3000927,1.7428571428571427
3000928,631.0
3000929,668.0
3000930,274.0
3000931,36.0
3000932,76.59049999999999
3000933,2169.311
3000934,2.257142857142857
3000935,0.6296296296296295
3000936,9.0
3000937,22.0
3000938,0.125
3000939,149.033
3000940,0.8809523809523809
3000941,192.423
3000942,32.0
3000943,142.0
3000944,0.14583333333333331
3000945,162.18507142857143
3000946,178.0
3000947,0.6
3000948,1.5416666666666667
3000949,137.23719625000004
3000950,13.0
3000951,7649.533
3000952,200.0
3000953,1.5
3000954,8.541666666666668
3000955,0.0
3000956,3.0
3000957,3300.0
3000958,0.0
3000959,667.0
3000960,13.285714285714286
3000961,1816.0
3000962,1013.0
3000963,482.064
3000964,168.0
3000965,119.935
3000966,6339.602
3000967,16.24489795918367
3000968,0.25
3000969,24.0
3000970,41.0
3000971,0.25
3000972,436.0
3000973,11.24
3000974,277.0
3000975,25.0
3000976,456.0
3000977,0.5428571428571428
3000978,560.7398436111112
3000979,443.0
3000980,0.6666666666666666
3000981,13.0
3000982,446.0958666666667
3000983,32.333333333333336
3000984,1507.409
3000985,20.0
3000986,4.0
3000987,2.7714285714285714
3000988,0.0
3000989,2.0
3000990,1270.0
3000991,0.0
3000992,156.5
3000993,3.625
3000994,746.0
3000995,642.0
3000996,220.0
3000997,33.22222222222222
3000998,57.0
3000999,3479.0
3001000,9.530612244897961
3001001,0.4
3001002,17.0
3001003,18.0
3001004,0.0
3001005,176.0
3001006,1.6666666666666667
3001007,152.375
3001008,32.0
3001009,72.628
3001010,0.5
3001011,130.3629761904762
3001012,156.0
3001013,0.38095238095238093
3001014,2.6
3001015,160.411
3001016,16.0
3001017,7115.576
3001018,20.0
3001019,2.25
3001020,2.7777777777777772
3001021,0.0
3001022,4.0
3001023,1270.0
3001024,0.0
3001025,115.0
3001026,2.685185185185185
3001027,539.0
3001028,650.0
3001029,113.0
3001030,36.0
3001031,41.5775
3001032,2066.0
3001033,3.982142857142857
3001034,0.8333333333333334
3001035,23.0
3001036,60.0
3001037,0.0
3001038,104.0
3001039,2.0
3001040,152.375
3001041,25.0
3001042,172.612
3001043,0.12962962962962962
3001044,121.44040656250002
3001045,140.063
3001046,0.29166666666666663
3001047,0.975
3001048,94.48639999999999
3001049,12.666666666666668
3001050,6692.869
3001051,20.0
